1, 1, 1, -1, 2, 9, 1, 1
1, 1, 13, -1, 1, 6, 1, 2
1, 1, 14, -1, 2, 18, 1, 0
1, 1, 19, -1, 0, 12, 1, 2
1, 1, 20, -1, 0, 2, 1, 3
1, 1, 11, -1, 2, 17, 1, 0
1, 1, 7, -1, 2, 8, 1, 2
1, 1, 4, -1, 4, 10, 1, 0
1, 1, 16, -1, 0, 15, 1, 0
1, 1, 3, -1, 0, 5, 1, 2
2, 1, 18, -1, 0, 13, 1, 0
2, 1, 8, -1, 2, 16, 1, 1
2, 1, 5, -1, 6, 20, 1, 1
2, 1, 17, -1, 3, 1, 1, 2
2, 1, 12, -1, 0, 4, 1, 2
2, 1, 9, -1, 2, 7, 1, 0
2, 1, 6, -1, 3, 19, 1, 1
2, 1, 10, -1, 1, 14, 1, 2
2, 1, 2, -1, 3, 3, 1, 2
2, 1, 15, -1, 1, 11, 1, 3
3, 1, 7, -1, 1, 5, 1, 1
3, 1, 14, -1, 2, 8, 1, 2
3, 1, 3, -1, 3, 10, 1, 1
3, 1, 20, -1, 0, 18, 1, 0
3, 1, 16, -1, 1, 9, 1, 2
3, 1, 4, -1, 1, 17, 1, 0
3, 1, 11, -1, 2, 12, 1, 1
3, 1, 19, -1, 4, 15, 1, 2
3, 1, 13, -1, 1, 2, 1, 2
3, 1, 1, -1, 0, 6, 1, 3
4, 1, 9, -1, 1, 4, 1, 2
4, 1, 17, -1, 2, 19, 1, 2
4, 1, 2, -1, 2, 14, 1, 0
4, 1, 12, -1, 0, 16, 1, 2
4, 1, 8, -1, 1, 20, 1, 1
4, 1, 10, -1, 0, 7, 1, 1
4, 1, 5, -1, 2, 13, 1, 1
4, 1, 18, -1, 2, 3, 1, 3
4, 1, 15, -1, 0, 1, 1, 2
4, 1, 11, -1, 2, 6, 1, 1
5, 1, 6, -1, 1, 4, 2, 2
5, 1, 14, -1, 4, 9, 1, 2
5, 1, 2, -1, 4, 18, 1, 1
5, 1, 20, -1, 0, 12, 1, 1
5, 1, 5, -1, 3, 19, 1, 0
5, 1, 13, -1, 1, 3, 1, 2
5, 1, 11, -1, 1, 1, 1, 2
5, 1, 7, -1, 1, 15, 1, 0
5, 1, 8, -1, 1, 10, 1, 0
5, 1, 16, -1, 2, 17, 1, 2
6, 1, 19, -1, 1, 11, 1, 1
6, 1, 15, -1, 4, 14, 1, 0
6, 1, 20, -1, 0, 5, 1, 5
6, 1, 12, -1, 0, 13, 1, 0
6, 1, 9, -1, 3, 20, 1, 1
6, 1, 4, -1, 3, 16, 1, 0
6, 1, 1, -1, 1, 7, 1, 1
6, 1, 17, -1, 1, 6, 1, 2
6, 1, 10, -1, 0, 2, 1, 0
6, 1, 3, -1, 2, 8, 1, 0
